,number,value,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0,0.42008229880345327,10,sqrt,1,2,200,COMPLETE
1,1,0.42158171513279674,110,log2,1,10,500,COMPLETE
2,2,0.41014353306717066,50,,3,4,100,COMPLETE
3,3,0.41014353306717066,90,,3,2,100,COMPLETE
4,4,0.41537469833960233,10,log2,4,10,300,COMPLETE
5,5,0.41392946282236964,50,,2,2,500,COMPLETE
6,6,0.41830769903982457,30,sqrt,3,6,100,COMPLETE
7,7,0.4175886484144746,110,sqrt,4,6,100,COMPLETE
8,8,0.4088468782158106,50,,4,4,100,COMPLETE
9,9,0.41474078509253387,90,log2,4,2,200,COMPLETE
10,10,0.41059927312862055,70,,2,6,300,COMPLETE
11,11,0.40501588937735367,50,,3,4,200,COMPLETE
12,12,0.40365839097125555,30,,4,4,200,COMPLETE
13,13,0.40501588937735367,30,,3,4,200,COMPLETE
14,14,0.41077637542772905,30,,2,8,400,COMPLETE
15,15,0.40365839097125555,70,,4,4,200,COMPLETE
16,16,0.40443223167451947,70,,4,6,300,COMPLETE
17,17,0.40601685391914827,90,,4,8,400,COMPLETE
18,18,0.41474078509253387,70,sqrt,4,4,200,COMPLETE
19,19,0.4139588167191177,30,log2,3,8,300,COMPLETE
20,20,0.4058187792662761,10,,4,4,400,COMPLETE
21,21,0.40443223167451947,70,,4,6,300,COMPLETE
22,22,0.40443223167451947,70,,4,6,300,COMPLETE
23,23,0.40365839097125555,90,,4,6,200,COMPLETE
24,24,0.40501588937735367,90,,3,4,200,COMPLETE
25,25,0.40365839097125555,110,,4,8,200,COMPLETE
26,26,0.40501588937735367,90,,3,4,200,COMPLETE
27,27,0.40365839097125555,50,,4,2,200,COMPLETE
28,28,0.4155875639606318,90,sqrt,2,6,100,COMPLETE
29,29,0.42008229880345327,10,log2,1,2,200,COMPLETE
30,30,0.4118623001355501,70,sqrt,4,4,300,COMPLETE
31,31,0.40365839097125555,110,,4,8,200,COMPLETE
32,32,0.4030239297647097,110,,4,10,200,COMPLETE
33,33,0.4030239297647097,110,,4,10,200,COMPLETE
34,34,0.42729313619980597,110,,1,10,100,COMPLETE
35,35,0.41297922713825025,110,,3,10,100,COMPLETE
36,36,0.41759121973580093,110,log2,4,10,200,COMPLETE
37,37,0.40887410064086926,30,,4,10,100,COMPLETE
38,38,0.40396376147672586,110,,3,10,200,COMPLETE
39,39,0.40458940550031786,10,,4,8,300,COMPLETE
40,40,0.41830769903982457,50,sqrt,3,2,100,COMPLETE
41,41,0.40365839097125555,90,,4,6,200,COMPLETE
42,42,0.4030239297647097,90,,4,10,200,COMPLETE
43,43,0.4030239297647097,90,,4,10,200,COMPLETE
44,44,0.4030239297647097,110,,4,10,200,COMPLETE
45,45,0.4147631079524402,110,log2,4,10,300,COMPLETE
46,46,0.40887410064086926,110,,4,10,100,COMPLETE
47,47,0.40396376147672586,90,,3,10,200,COMPLETE
48,48,0.40693714656755153,110,,4,10,500,COMPLETE
49,49,0.40887410064086926,90,,4,10,100,COMPLETE
50,50,0.40365839097125555,110,,4,8,200,COMPLETE
51,51,0.4030239297647097,110,,4,10,200,COMPLETE
52,52,0.4030239297647097,110,,4,10,200,COMPLETE
53,53,0.4030239297647097,90,,4,10,200,COMPLETE
54,54,0.4030239297647097,110,,4,10,200,COMPLETE
55,55,0.40443223167451947,110,,4,8,300,COMPLETE
56,56,0.41759121973580093,90,sqrt,4,10,200,COMPLETE
57,57,0.4030239297647097,110,,4,10,200,COMPLETE
58,58,0.4139588167191177,90,log2,3,8,300,COMPLETE
59,59,0.40389611319816054,110,,4,10,300,COMPLETE
60,60,0.40584422557102434,90,,3,8,200,COMPLETE
61,61,0.4030239297647097,110,,4,10,200,COMPLETE
62,62,0.4030239297647097,110,,4,10,200,COMPLETE
63,63,0.4030239297647097,110,,4,10,200,COMPLETE
64,64,0.4030239297647097,110,,4,10,200,COMPLETE
65,65,0.4030239297647097,90,,4,10,200,COMPLETE
66,66,0.420596672856409,110,,2,10,100,COMPLETE
67,67,0.40365839097125555,110,,4,8,200,COMPLETE
68,68,0.4058115594725108,90,,4,10,400,COMPLETE
69,69,0.41759121973580093,110,sqrt,4,10,200,COMPLETE
70,70,0.4030239297647097,70,,4,10,200,COMPLETE
71,71,0.4030239297647097,90,,4,10,200,COMPLETE
72,72,0.4030239297647097,90,,4,10,200,COMPLETE
73,73,0.4030239297647097,90,,4,10,200,COMPLETE
74,74,0.4030239297647097,110,,4,10,200,COMPLETE
75,75,0.41759121973580093,70,log2,4,10,200,COMPLETE
76,76,0.40887410064086926,110,,4,10,100,COMPLETE
77,77,0.40443223167451947,90,,4,8,300,COMPLETE
78,78,0.4030239297647097,110,,4,10,200,COMPLETE
79,79,0.41443877856191974,110,,1,10,200,COMPLETE
80,80,0.40887410064086926,70,,4,10,100,COMPLETE
81,81,0.4030239297647097,110,,4,10,200,COMPLETE
82,82,0.4030239297647097,110,,4,10,200,COMPLETE
83,83,0.4030239297647097,110,,4,10,200,COMPLETE
84,84,0.4030239297647097,110,,4,10,200,COMPLETE
85,85,0.4030239297647097,90,,4,10,200,COMPLETE
86,86,0.4147631079524402,110,sqrt,4,10,300,COMPLETE
87,87,0.4030239297647097,110,,4,10,200,COMPLETE
88,88,0.41474078509253387,110,log2,4,8,200,COMPLETE
89,89,0.40396376147672586,90,,3,10,200,COMPLETE
90,90,0.4030239297647097,90,,4,10,200,COMPLETE
91,91,0.4030239297647097,110,,4,10,200,COMPLETE
92,92,0.4030239297647097,110,,4,10,200,COMPLETE
93,93,0.4030239297647097,110,,4,10,200,COMPLETE
94,94,0.4030239297647097,110,,4,10,200,COMPLETE
95,95,0.4030239297647097,110,,4,10,200,COMPLETE
96,96,0.4030239297647097,110,,4,10,200,COMPLETE
97,97,0.4030239297647097,90,,4,10,200,COMPLETE
98,98,0.4088468782158106,50,,4,8,100,COMPLETE
99,99,0.4030239297647097,110,,4,10,200,COMPLETE
100,100,0.42149796939457607,110,sqrt,3,10,200,COMPLETE
101,101,0.4030239297647097,110,,4,10,200,COMPLETE
102,102,0.4030239297647097,110,,4,10,200,COMPLETE
103,103,0.4030239297647097,110,,4,10,200,COMPLETE
104,104,0.4030239297647097,110,,4,10,200,COMPLETE
105,105,0.4030239297647097,110,,4,10,200,COMPLETE
106,106,0.4030239297647097,90,,4,10,200,COMPLETE
107,107,0.4191167953870716,110,log2,2,10,300,COMPLETE
108,108,0.4030239297647097,110,,4,10,200,COMPLETE
109,109,0.4030239297647097,90,,4,10,200,COMPLETE
110,110,0.40365839097125555,70,,4,8,200,COMPLETE
111,111,0.4030239297647097,110,,4,10,200,COMPLETE
112,112,0.4030239297647097,110,,4,10,200,COMPLETE
113,113,0.4030239297647097,110,,4,10,200,COMPLETE
114,114,0.4030239297647097,110,,4,10,200,COMPLETE
115,115,0.4030239297647097,110,,4,10,200,COMPLETE
116,116,0.4030239297647097,110,,4,10,200,COMPLETE
117,117,0.4030239297647097,110,,4,10,200,COMPLETE
118,118,0.4030239297647097,90,,4,10,200,COMPLETE
119,119,0.4030239297647097,110,,4,10,200,COMPLETE
